employeeNumber,code,day,month,year,timestamp,who,deleted
37003,98,1,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,2,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,3,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,4,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,5,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,6,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,7,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,8,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,9,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,10,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,11,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,12,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,13,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,14,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,15,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,16,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,0
37003,98,17,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,0
37003,98,18,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,0
37003,98,19,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,0
37003,98,20,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,0
37003,98,21,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,22,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,23,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,24,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,25,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,26,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,27,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,28,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,29,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,30,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,31,1,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,1,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,2,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,3,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,4,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,5,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,6,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,7,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,8,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,9,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,10,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,11,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,12,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,13,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,14,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,15,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,16,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,17,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,18,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,19,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,20,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,21,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,22,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,23,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,24,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,25,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,26,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,27,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,28,2,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,1,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,2,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,3,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,4,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,5,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,6,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,7,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,8,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,9,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,10,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,11,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,12,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,13,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,14,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,15,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,16,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,17,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,18,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,19,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,20,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,21,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,22,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,23,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,24,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,25,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,26,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,27,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,28,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,29,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,30,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,31,3,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,1,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,2,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,3,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,4,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,5,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,6,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,7,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,8,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,9,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,10,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,11,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,12,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,13,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,14,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,15,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,16,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,17,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,18,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,19,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,20,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,21,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,22,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,23,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,24,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,25,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,26,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,27,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,28,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,29,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,30,4,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,1,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,2,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,3,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,4,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,5,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,6,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,7,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,8,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,9,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,10,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,11,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,12,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,13,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,14,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,15,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,16,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,17,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,18,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,19,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,20,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,21,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,22,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,23,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,24,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,25,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,26,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,27,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,28,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,29,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,30,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,31,5,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,1,6,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
37003,98,2,6,2023,10/12/2022 7:51:40 AM,Mister Who Duty,1
45140,97,1,1,2023,10/12/2022 7:52:07 AM,Mister Who Duty,1
45140,97,2,1,2023,10/12/2022 7:52:07 AM,Mister Who Duty,1
45140,97,3,1,2023,10/12/2022 7:52:07 AM,Mister Who Duty,1
45140,97,4,1,2023,10/12/2022 7:52:07 AM,Mister Who Duty,1
45140,97,5,1,2023,10/12/2022 7:52:07 AM,Mister Who Duty,1
45140,97,6,1,2023,10/12/2022 7:52:07 AM,Mister Who Duty,1
37003,90,1,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,2,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,3,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,4,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,5,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,6,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,7,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,8,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,9,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,10,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,11,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,12,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,13,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,14,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
37003,90,15,1,2023,10/12/2022 7:54:25 AM,Mister Who Duty,1
45140,90,1,1,2023,10/12/2022 7:54:41 AM,Mister Who Duty,1
45140,90,2,1,2023,10/12/2022 7:54:41 AM,Mister Who Duty,1
45140,90,3,1,2023,10/12/2022 7:54:41 AM,Mister Who Duty,1
45140,90,4,1,2023,10/12/2022 7:54:41 AM,Mister Who Duty,1
