employeeNumber,code,day,month,year,timestamp,who,deleted
14761,13,2,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,3,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,4,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,5,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,6,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,9,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,10,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,11,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,12,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,13,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,16,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,17,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,18,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,19,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,20,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,23,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,24,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,25,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,26,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,27,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,30,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,31,1,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,1,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,2,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,3,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,6,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,7,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,8,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,9,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,10,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,13,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,14,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,15,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,16,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,17,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,20,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,21,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,22,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,23,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,24,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,27,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,28,2,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,1,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,2,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,3,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,6,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,7,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,8,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,9,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,10,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,13,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,14,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,15,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,16,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,17,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,20,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,21,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,22,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,23,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,24,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,27,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
14761,13,28,3,2023,4/28/2014 8:37:06 AM,Modified by Event,0
